PlayerId,Position,Height,Weight,CollegeAwards,FG%,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,StartRatio,G,GS,MP,FG,FGA,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,WS/40,PER,OBPM,DBPM,BPM,playerId,isAllStar
hiram-fuller-1,Forward,206,108,2,0.503,0.547,0.505,0.035,0.661,,,,,,,,22.0,,0.3833333333,60.0,23.0,1224.0,5.1,10.1,5.1,9.8,0.518,0.0,0.4,0.091,4.3,6.7,0.649,12.5,0.7000000000000001,1.2,1.9,3.8,5.7,14.6,1.9,3.1,5.0,0.165,,,,,hiram-fuller-1,0
david-lee-1,Forward,206,112,6,0.581,0.609,0.581,0.006,0.55,,,,16.3,17.3,,2.4,18.2,23.5,0.7480314961000001,127.0,95.0,3171.0,6.8,11.8,6.8,11.7,0.584,0.0,0.1,0.0,4.4,6.5,0.681,11.0,3.2,1.4,1.4,3.3,3.5,18.1,9.6,8.4,18.0,0.227,,,,,david-lee-1,0
david-lee-1,Forward,206,112,6,0.581,0.609,0.581,0.006,0.55,,,,16.3,17.3,,2.4,18.2,23.5,0.7480314961000001,127.0,95.0,3171.0,6.8,11.8,6.8,11.7,0.584,0.0,0.1,0.0,4.4,6.5,0.681,11.0,3.2,1.4,1.4,3.3,3.5,18.1,9.6,8.4,18.0,0.227,,,,,david-lee-1,1
dexter-shouse-1,Guard,188,90,0,,0.516,,,0.252,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dexter-shouse-1,0
larry-sykes-1,Forward,206,115,2,0.511,0.521,0.511,0.002,0.47700000000000004,,,,,,,,,,,105.0,,2003.0,4.8,9.5,4.8,9.4,0.512,0.0,0.0,0.0,2.4,4.5,0.54,11.0,2.0,1.5,0.4,,,12.1,,,,,,,,,larry-sykes-1,0
ansu-sesay-1,Forward,206,102,5,0.428,0.511,0.454,0.2,0.47700000000000004,,,,,,,,18.0,,,110.0,,2237.0,8.7,20.4,7.6,16.3,0.468,1.1,4.1,0.268,7.0,9.7,0.724,12.5,4.1,1.8,1.8,3.5,4.0,25.5,4.2,8.6,12.9,0.139,,,,,ansu-sesay-1,0
keith-askins-1,Forward,201,89,2,,0.556,0.527,0.40800000000000003,0.331,,,,10.5,8.7,,2.3,15.9,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,keith-askins-1,0
dikembe-mutombo-1,Center,218,111,5,,0.651,0.644,0.0,0.6930000000000001,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dikembe-mutombo-1,1
dikembe-mutombo-1,Center,218,111,5,,0.651,0.644,0.0,0.6930000000000001,,,,,,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dikembe-mutombo-1,0
pj-brown-1,Center,211,102,3,,0.529,0.498,0.054,0.4,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pj-brown-1,0
briante-weber-1,Guard,188,74,3,0.426,0.515,0.455,0.21,0.43,977.0,3.7,13.8,8.3,23.8,7.4,1.0,18.2,17.0,0.5118110236,127.0,65.0,2965.0,4.0,9.4,3.5,7.4,0.466,0.5,2.0,0.274,3.1,4.0,0.769,5.7,5.1,5.0,0.4,2.5,3.8,11.6,4.7,8.7,13.4,0.181,20.4,2.9,7.3,10.3,briante-weber-1,0
ken-norman-1,Forward,203,97,3,,0.637,,0.004,0.40900000000000003,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ken-norman-1,0
antonio-blakeney-1,Guard,193,84,3,0.444,0.549,0.514,0.406,0.33,848.0,3.1,11.1,7.0,8.1,1.2,0.4,9.4,22.2,0.8437500000000001,64.0,54.0,2034.0,6.5,14.7,4.4,8.7,0.51,2.1,6.0,0.34700000000000003,3.6,4.8,0.736,5.2,1.7000000000000002,0.8,0.2,1.8,1.9,18.6,4.1,0.7000000000000001,4.8,0.095,16.5,3.4,-1.9,1.5,antonio-blakeney-1,0
mason-plumlee-1,Forward,208,106,5,0.5740000000000001,0.584,0.5750000000000001,0.011,0.622,1441.0,10.8,23.7,17.3,11.1,1.8,5.0,19.2,20.2,0.7021276596,141.0,99.0,3652.0,5.8,10.0,5.7,9.9,0.578,0.0,0.1,0.2,3.6,6.2,0.583,11.9,2.3,1.3,2.2,3.1,3.8,15.2,8.3,8.2,16.6,0.181,22.0,3.5,6.5,10.0,mason-plumlee-1,0
shawn-bradley-1,Center,229,106,2,,0.56,0.519,0.003,0.512,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shawn-bradley-1,0
matt-steigenga-1,Forward,201,102,4,,0.588,0.557,0.084,0.378,,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,matt-steigenga-1,0
mark-west-1,Center,208,104,0,,0.556,,,0.418,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mark-west-1,0
alton-lister-1,Center,213,108,0,,0.543,,,0.41200000000000003,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alton-lister-1,0
kenny-payne-1,Forward,203,88,3,,0.533,,0.222,0.14,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kenny-payne-1,0
shawn-kemp-1,Forward,206,113,2,0.5690000000000001,0.582,0.5690000000000001,0.0,0.358,551.0,7.3,8.7,7.9,1.5,0.5,3.0,13.9,16.7,0.4385964912,114.0,50.0,1892.0,5.5,9.6,5.5,9.6,0.5690000000000001,0.0,0.0,,2.2,3.4,0.626,5.4,0.30000000000000004,0.30000000000000004,1.2,1.8,4.8,13.1,3.0,1.2,4.2,0.09,13.4,-0.30000000000000004,-0.30000000000000004,-0.6000000000000001,shawn-kemp-1,0
shawn-kemp-1,Forward,206,113,2,0.5690000000000001,0.582,0.5690000000000001,0.0,0.358,551.0,7.3,8.7,7.9,1.5,0.5,3.0,13.9,16.7,0.4385964912,114.0,50.0,1892.0,5.5,9.6,5.5,9.6,0.5690000000000001,0.0,0.0,,2.2,3.4,0.626,5.4,0.30000000000000004,0.30000000000000004,1.2,1.8,4.8,13.1,3.0,1.2,4.2,0.09,13.4,-0.30000000000000004,-0.30000000000000004,-0.6000000000000001,shawn-kemp-1,1
ricky-wilson-1,Guard,190,88,0,,0.514,,,0.393,,,,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ricky-wilson-1,0
kyle-lowry-1,Guard,183,79,2,0.449,0.531,0.465,0.099,0.5660000000000001,,,,8.3,25.9,,0.6000000000000001,17.7,20.4,0.5964912281,57.0,34.0,1524.0,4.8,10.6,4.4,9.5,0.463,0.30000000000000004,1.0,0.325,4.4,6.0,0.737,5.7,4.5,2.8,0.30000000000000004,2.9,3.9,14.3,2.1,4.4,6.5,0.171,,,,,kyle-lowry-1,0
kyle-lowry-1,Guard,183,79,2,0.449,0.531,0.465,0.099,0.5660000000000001,,,,8.3,25.9,,0.6000000000000001,17.7,20.4,0.5964912281,57.0,34.0,1524.0,4.8,10.6,4.4,9.5,0.463,0.30000000000000004,1.0,0.325,4.4,6.0,0.737,5.7,4.5,2.8,0.30000000000000004,2.9,3.9,14.3,2.1,4.4,6.5,0.171,,,,,kyle-lowry-1,1
tony-snell-1,Guard,201,90,3,0.421,0.5710000000000001,0.533,0.588,0.272,883.0,2.0,9.8,5.9,18.1,1.3,1.6,15.6,20.1,0.7307692308,104.0,76.0,2583.0,4.8,11.4,2.3,4.7,0.48,2.6,6.7,0.38,2.6,3.1,0.8210000000000001,3.9,3.3,0.8,0.6000000000000001,2.4,1.9,14.7,5.1,3.8,8.9,0.138,15.6,3.7,1.4,5.1,tony-snell-1,0
devin-harris-1,Guard,190,83,5,0.447,0.593,0.542,0.509,0.47400000000000003,,,,7.7,28.8,,0.30000000000000004,12.4,27.6,1.0,96.0,96.0,3356.0,5.2,11.7,3.0,5.7,0.522,2.2,5.9,0.375,4.3,5.5,0.778,4.7,3.5,2.0,0.5,2.0,2.4,17.0,9.8,7.8,17.6,0.21,,,,,devin-harris-1,1
devin-harris-1,Guard,190,83,5,0.447,0.593,0.542,0.509,0.47400000000000003,,,,7.7,28.8,,0.30000000000000004,12.4,27.6,1.0,96.0,96.0,3356.0,5.2,11.7,3.0,5.7,0.522,2.2,5.9,0.375,4.3,5.5,0.778,4.7,3.5,2.0,0.5,2.0,2.4,17.0,9.8,7.8,17.6,0.21,,,,,devin-harris-1,0
steve-harris-1,Guard,196,88,0,,0.596,,,0.329,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steve-harris-1,0
